,ENTIDAD,OBJETIVO,IMPORTE,AÑO
49,ASOC. DE COMERCIANTES DE BASURTO,Plan Aurrera,"7.000,00€",2020
50,ASOC. DE COMERCIANTES DE OTXARKOAGA,Plan de actuación 2020,"11.000,00€",2020
51,ASOC. DE COMERCIANTES DE OTXARKOAGA,Plan Aurrera,"11.000,00€",2020
52,ASOC. DE COMERCIANTES DE ZORROZA,Plan de actuación 2020,"14.000,00€",2020
53,ASOC. DE COMERCIANTES DE ZORROZA,Plan Aurrera,"14.000,00€",2020
54,ASOC. DE COMERCIANTES DISTRITO 2 - AUZOA BERRITZEN,Plan Aurrera,"14.000,00€",2020
55,ASOC. DE COMERCIANTES DISTRITO 2 - AUZOA BERRITZEN,Plan de actuación 2020,"14.000,00€",2020
56,ASOC. DE COMERCIANTES DEUSTO BIZIRIK,Plan Aurrera,"18.000,00€",2020
57,ASOC. DE COMERCIANTES BILBAO CENTRO,Plan Aurrera,"82.000,00€",2020
58,BILBAO DENDAK,Hirigune,-€,2020
59,FUNDACIÓN ELHUYAR,Zientzia Azoka 2020,"20.000,00€",2020
60,AREA DE PARTICIPACION CIUDADANA E INTERNACIONAL,Adscripción área de internacionalización Bilbao Ekintza,-€,2020
61,ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,"5o Encuentro alcaldes red OECD ""Champions Mayors inclusive growth""","270.000,00€",2020
62,ASOCIACIÓN EMPRESARIAS Y DIRECTIVAS BIZKAIA AED,Plan de actuación 2020,"7.500,00€",2020
63,CAMARA DE COMERCIO DE BILBAO,Programa de bonos de estímulo al consumo,"200.000,00€",2020
64,ASOC. KOOP SF 34 POR INCENTIVO AL EMPRENDIZAJE SUBSAHARIANO,Impulso del Centro de Innovación Aplicada de San Francisco,"25.000,00€",2020
65,"ASOC. DE COMERCIO, HOSTELERÍA Y SERVICIOS REKALDE BIHOTZEAN",Plan de Actuación 2020,"25.000,00€",2020
66,"ASOC. DE COMERCIO, HOSTELERÍA Y SERVICIOS REKALDE BIHOTZEAN",Plan BILBAO AURRERA,"14.000,00€",2020
67,ASOCIACIÓN HOSTELERÍA BIZKAIA,Impulso acciones extraordinarias dinamización actividad comercial,"74.000,00€",2020
68,"GLOBERNANCE, INSTITUTO DE GOBERNANZA DEMOCRÁTICA",VII BILBAO EUROPEAN ENCOUNTERS,"40.000,00€",2020
69,ASOCIACIÓN MUJER SIGLO XXI,Acciones 2020,"7.500,00€",2020
70,"MEDIA ATTACK GROUP, S.L.","Rodaje en Bilbao y Bizkaia webserie ""Black Sunday""",-€,2020
71,"SERVICIOS SOCIALES INTEGRADOS, S.COOP.",Colaboración reto de la fragilidad en las personas mayores,"47.034,90€",2020
72,BILBAO DENDAK,FinBox,"9.438,00€",2020
73,U.T.E. LANHEZI 2020,"Proy. Sing. formación y empleo Bilbao la Vieja, San Francisco y Zabala","87.371,76€",2020
74,U.T.E. OTXARBERRI-LAN,Proyecto singular formación y empleo Otxarkoaga y Txurdinaga,"45.000,00€",2020
75,FUNDACIÓN ITAKA ESCOLAPIOS,Proyecto singular formación y empleo Ojalá,"32.628,24€",2020
76,FUNDACIÓN EDE FUNDAZIOA,Proyecto singular formación y empleo barrios Uribarri e Iralabarri,"40.000,00€",2020
77,UTE OTXARKOAGA GARATUZ,Proyecto singular formación y empleo barrios Otxarkoaga y Txurdinaga,"45.000,00€",2020
78,ASOCIACIÓN WIKITOKI,Ekonopolo,"47.034,90€",2020
79,ASOCIACIÓN WIKITOKI,"Implantación de un centro de innovación en BLV, San Francisco y Zabala","12.008,04 €",2019
80,"CFC BILBAO, SL",Viernes del CFC,"18.000,00 €",2019
81,DEPARTAMENTO DE TURISMO Y COMERCIO GOBIERNO VASCO,Red iTourbask,"102.000,00 €",2019
82,DIPUTACIÓN FORAL Y TURKISH AIRLINES,Acciones de promoción,-   €,2019
83,"GRUPO SERVICIOS SOCIALES INTEGRADOS, S. COOP.",Colaboración actividades Centro Big Bilbao (Centro Colón),-   €,2019
84,"M. EVENTS, S.L.",Selected Graphic Design,"40.000,00 €",2019
85,ASOCIACION SLOW-FOOD CONVIVIUM BILBAO BIZKAIA,Acciones 2019 Slow Food Bilbao-Bizkaia,"30.000,00 €",2019
86,"ASOC. COMERCIANTES SAN FRANCISCO, BILBAO LA VIEJA  Y ZABALA",Plan de Actuación 2019,"11.000,00 €",2019
87,"EIKEN, CLUSTER DEL SECTOR AUDIOVISUAL DE EUSKADI",Eiken Talent,"4.000,00 €",2019
88,ASOCIACION BILBAO INTERNATIONAL ART & FASHION (BIAF),"Concurso de moda ""Art & Fashion""","20.000,00 €",2019
89,ASOCIACION DEPORTIVA CULTURAL SAIL IN FESTIVAL,Sail in Festival 2019,"25.000,00 €",2019
90,"AREA DE JUVENTUD, COLABORACION PROGRAMAS",Colaboración con aportación de personal,-   €,2019
91,ASOCIACION DE AGENCIAS DE PUBLICIDAD DE BIZKAIA,Actividades de la asociación 2019,"10.000,00 €",2019
92,FUNDACION THE WALK ON PROJECT,WOP Festival - Estropatada 2019,"20.000,00 €",2019
93,LEONARDO ALFREDO POLLAVINI,EUROCIP IX,"23.272,00 €",2019
94,BERUFSBILDUNGSZENTRUM AUGSBURG DER LEHMBAUGRUPPE GGMBH (BBZ),EUROCIP IX,"27.604,00 €",2019
95,CJD MAXIMILIANSAU,EUROCIP IX,"15.968,00 €",2019
96,LANBIDE-SERVICIO VASCO DE EMPLEO,Ejecución convocatoria ayudas dirigidas al apoyo de personas emprendedoras,-   €,2019
97,ELHUYAR FUNDAZIOA,Zientzia Azoka,"20.000,00 €",2019
98,"ARTHAZI, ASOCIACION PARA LA PROMOCION DEL ARTE CONTEMPORANEO",Festival Internacional del Grabado (FIG Bilbao),"37.000,00 €",2019
99,FUNDACION ITAKA ESCOLAPIOS,"Colaboración Fundación Itaka ""Programa OJALA 2018-19""","18.000,00 €",2019
100,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,XV Foro de Empleo y Emprendimiento - Forotech 2019,"14.500,00 €",2019
101,AYUNTAMIENTO DE BILBAO,Plan de Empleo 2019,-   €,2019
102,"ÁREA DE EUSKERA, JUVENTUD Y DEPORTE AYTO. BILBAO",Plan de Normalización del uso del euskera en el comercio 2019,"30.000,00 €",2019
103,"SANDRA MATEO SUAREZ-PEDRO MATEO EUGENIO, S.C. (BOHEMIAN LANE)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.446,03 €",2019
104,LANBIDE-SERVICIO VASCO DE EMPLEO,Colaboración para la convocatoria de ayudas a la contratación,-   €,2019
105,"VUELING AIRLINES, S.A.",Colaboración publicitaria en calendario de promoción turística de Bilbao Ekintza,"48.400,00 €",2019
106,ASOCIACIÓN COMERCIANTES CASCO VIEJO,Acciones 2019 Asociación Comerciantes Casco Viejo,"59.000,00 €",2019
107,DEUSTO BIZIRIK AGRUPACIÓN COMERCIAL,Plan de Actuación 2019,"18.000,00 €",2019
108,ASOCIACIÓN LITERARIA DE LA RISA DE BILBAO,X Festival internacional de literatura y arte con humor,"40.000,00 €",2019
109,ASOCIACIÓN DE COMERCIANTES DE OTXARKOAGA,Plan de Actuación 2019,"11.000,00 €",2019
110,"VIVIENDAS MUNICIPALES, OAL",Promoción actividades empresariales lonjas VVMM,-   €,2019
111,FUNDACIÓN OTXARKI,Proyecto Otxaki Colegio Veracruz,"100.000,00 €",2019
112,UTE HEZI ETA LAN BERRIA,Proyecto Singular Formación Empleo BLV LANBIDE,"100.000,00 €",2019
